GEOID,NAME,totalunits,mobileunits,ratio
37001,Alamance County,69749,8342,119
37003,Alexander County,16399,5111,311
37005,Alleghany County,8160,1392,170
37007,Anson County,11594,2929,252
37009,Ashe County,17649,3820,216
37011,Avery County,14166,2241,158
37013,Beaufort County,25930,6963,268
37015,Bertie County,9841,3607,366
37017,Bladen County,17877,6624,370
37019,Brunswick County,86968,19513,224
37021,Buncombe County,121591,17321,142
37023,Burke County,41092,10634,258
37025,Cabarrus County,78093,4943,63
37027,Caldwell County,37950,7215,190
37029,Camden County,4228,662,156
37031,Carteret County,49911,9057,181
37033,Caswell County,10778,2904,269
37035,Catawba County,68693,9668,140
37037,Chatham County,31555,5203,164
37039,Cherokee County,18104,3618,199
37041,Chowan County,7301,1597,218
37043,Clay County,7309,1437,196
37045,Cleveland County,43579,8420,193
37047,Columbus County,26250,8234,313
37049,Craven County,46911,6393,136
37051,Cumberland County,145839,13122,89
37053,Currituck County,15557,2228,143
37055,Dare County,34515,1925,55
37057,Davidson County,74311,11424,153
37059,Davie County,18582,3457,186
37061,Duplin County,25876,9346,361
37063,Durham County,133429,1836,13
37065,Edgecombe County,24945,5961,238
37067,Forsyth County,163382,6245,38
37069,Franklin County,28012,7171,255
37071,Gaston County,91779,10214,111
37073,Gates County,5336,1735,325
37075,Graham County,6017,1605,266
37077,Granville County,24069,5033,209
37079,Greene County,8316,3191,383
37081,Guilford County,226743,6991,30
37083,Halifax County,25919,5686,219
37085,Harnett County,51230,11099,216
37087,Haywood County,35398,6397,180
37089,Henderson County,56939,8753,153
37091,Hertford County,10632,2780,261
37093,Hoke County,20709,4120,198
37095,Hyde County,3249,546,168
37097,Iredell County,72834,9889,135
37099,Jackson County,27073,4810,177
37101,Johnston County,73685,12796,173
37103,Jones County,4958,1628,328
37105,Lee County,24463,3531,144
37107,Lenoir County,27550,6497,235
37109,Lincoln County,35227,7410,210
37111,McDowell County,21297,6643,311
37113,Macon County,25557,3507,137
37115,Madison County,10892,2796,256
37117,Martin County,11608,2532,218
37119,Mecklenburg County,435795,6149,14
37121,Mitchell County,8812,1552,176
37123,Montgomery County,16235,3737,230
37125,Moore County,46638,6965,149
37127,Nash County,42876,8242,192
37129,New Hanover County,109244,4472,40
37131,Northampton County,11670,2621,224
37133,Onslow County,78501,11375,144
37135,Orange County,57502,4799,83
37137,Pamlico County,7721,1970,255
37139,Pasquotank County,17108,2089,122
37141,Pender County,28601,6773,236
37143,Perquimans County,7136,1587,222
37145,Person County,18428,4173,226
37147,Pitt County,78563,9528,121
37149,Polk County,11674,1750,149
37151,Randolph County,62147,13428,216
37153,Richmond County,21380,5574,260
37155,Robeson County,53065,20342,383
37157,Rockingham County,43977,7412,168
37159,Rowan County,61329,10115,164
37161,Rutherford County,34275,7127,207
37163,Sampson County,27610,10152,367
37165,Scotland County,15295,3599,235
37167,Stanly County,27638,3609,130
37169,Stokes County,22186,5530,249
37171,Surry County,34030,8366,245
37173,Swain County,8951,2451,273
37175,Transylvania County,19560,2737,139
37177,Tyrrell County,2229,676,303
37179,Union County,79644,4666,58
37181,Vance County,20117,4808,239
37183,Wake County,421426,13644,32
37185,Warren County,11948,3798,317
37187,Washington County,6458,1542,238
37189,Watauga County,33520,2936,87
37191,Wayne County,54074,13379,247
37193,Wilkes County,33480,9235,275
37195,Wilson County,36005,4873,135
37197,Yadkin County,17401,4508,259
37199,Yancey County,11211,2427,216
